
 HAPPINESS 
1. song2.txt | score=39.895 | matches=31
2. song1.txt | score=30.974 | matches=25
3. song3.txt | score=9.688 | matches=6
4. song26.txt | score=8.333 | matches=7
5. song28.txt | score=7.786 | matches=18
6. song25.txt | score=6.563 | matches=19
7. song24.txt | score=4.081 | matches=9
8. song5.txt | score=3.779 | matches=3
9. song23.txt | score=3.536 | matches=4
10. song7.txt | score=3.534 | matches=5

 SADNESS 
1. song6.txt | score=18.202 | matches=10
2. song1.txt | score=16.184 | matches=12
3. song15.txt | score=11.527 | matches=8
4. song8.txt | score=8.092 | matches=11
5. song19.txt | score=7.379 | matches=18
6. song26.txt | score=6.669 | matches=6
7. song17.txt | score=6.213 | matches=7
8. song10.txt | score=5.764 | matches=6
9. song7.txt | score=4.480 | matches=4
10. song21.txt | score=3.890 | matches=4

 NOSTALGIA 
1. song15.txt | score=13.168 | matches=19
2. song13.txt | score=9.895 | matches=9
3. song27.txt | score=8.262 | matches=12
4. song6.txt | score=7.733 | matches=11
5. song17.txt | score=7.574 | matches=12
6. song2.txt | score=6.263 | matches=7
7. song7.txt | score=4.956 | matches=7
8. song25.txt | score=4.208 | matches=7
9. song20.txt | score=3.562 | matches=8
10. song10.txt | score=3.504 | matches=5

 ANGER 
1. song21.txt | score=19.447 | matches=12
2. song6.txt | score=7.367 | matches=5
3. song15.txt | score=7.363 | matches=5
4. song10.txt | score=6.611 | matches=6
5. song4.txt | score=5.121 | matches=3
6. song7.txt | score=3.795 | matches=3
7. song19.txt | score=3.633 | matches=2
8. song23.txt | score=3.445 | matches=3
9. song22.txt | score=3.431 | matches=4
10. song11.txt | score=2.960 | matches=2

 LOVE 
1. song25.txt | score=23.485 | matches=27
2. song27.txt | score=17.297 | matches=32
3. song28.txt | score=12.843 | matches=8
4. song15.txt | score=12.757 | matches=28
5. song26.txt | score=8.470 | matches=11
6. song29.txt | score=7.386 | matches=17
7. song19.txt | score=6.574 | matches=22
8. song6.txt | score=6.559 | matches=12
9. song17.txt | score=5.465 | matches=16
10. song2.txt | score=5.400 | matches=40
